"氏名（必須）","性別（必須）","生年月日（必須）","社員ID","部署","入社日（必須）","在籍状態","稼働状態（必須）","稼働先","退職日（必須）","退職理由","備考"
"藤田愛璃彩","女性","1996/01/01","210000019","","2021/02/05","退職","開発","株式会社ブレイバンステクノロジーズ","2022/04/01","同業他社転職",""
"古川達也","男性","1996/01/01","210000020","","2021/01/25","退職","派遣","株式会社ヒト・コミュニケーションズ","2022/05/01","会社不信",""
"北村悠真","男性","1995/01/01","200000021","","2020/01/14","退職","開発","株式会社S.E.C","2022/05/01","同業他社転職",""
"河野智樹","男性","1997/01/01","220000022","","2022/01/05","退職","陸特","株式会社Pro-SPIRE","2022/05/01","家庭問題",""
"鈴木文音","女性","1997/01/01","220000023","","2022/04/06","退職","派遣","株式会社マニフェスト","2022/05/01","稼働問題",""
"玉田大樹","男性","1994/01/01","190000024","","2019/05/01","退職","開発","株式会社フューチャーアンティークス","2022/05/01","ITモチベ低下",""
"金森千佳","女性","1995/01/01","200000025","","2020/02/08","退職","開発","アイラビット株式会社","2022/05/01","同業他社転職",""
"吉田剛","男性","1996/01/01","210000026","","2021/11/08","退職","派遣","株式会社コンフィデンス","2022/05/01","ITモチベ低下",""
"加納直樹","男性","1995/01/01","200000027","","2020/11/05","退職","開発","株式会社ボールド","2022/06/01","同業他社転職",""
"千徳陽矢","男性","1997/01/01","220000028","","2022/06/06","退職","派遣","株式会社ヒトコミュニケーションズ","2022/07/01","会社不信",""
"村田卓弥","男性","1997/01/01","220000029","","2022/06/08","退職","派遣","BIGUP株式会社","2022/07/01","家庭問題",""
"丸山克輝","男性","1997/01/01","220000030","","2022/02/01","退職","陸特","株式会社ユキシステムデザイン","2022/06/01","金銭問題",""
"村上花怜","女性","1997/01/01","220000031","","2022/02/01","退職","陸特","株式会社イーフォルム","2022/06/01","金銭問題",""
"伊藤恭介","男性","1996/01/01","210000032","","2021/01/11","退職","開発","株式会社ヒュペリオンテクノロジー","2022/06/01","ITモチベ低下",""
"中村香南子","女性","1994/01/01","190000033","","2019/11/26","退職","開発","日本テムズ株式会社","2022/06/01","同業他社転職",""
"田中清善","男性","1995/01/01","200000034","","2020/03/27","退職","開発","株式会社グローバル・インフォメーション・テクノロジー","2022/06/01","同業他社転職",""
"菊地謙吾","男性","1995/01/01","200000035","","2020/11/30","退職","派遣","株式会社ヒト・コミュニケーションズ","2022/06/01","ITモチベ低下",""
"岡重洸希","男性","1997/01/01","220000036","","2022/02/04","退職","陸特","株式会社ブレーンネット","2022/07/01","家庭問題",""
"梅村潤也","男性","1995/01/01","200000037","","2020/12/25","退職","開発","デマンドリンク株式会社","2022/07/01","同業他社転職",""
"百瀬遼太","男性","1995/01/01","200000038","","2020/05/27","退職","開発","株式会社トラストグロース","2022/07/01","同業他社転職",""
"大塚雅弘","男性","1997/01/01","220000039","","2022/05/11","退職","派遣","株式会社マニフェスト","2022/07/01","稼働問題",""
"大矢美里","女性","1997/01/01","220000040","","2022/04/01","退職","陸特","株式会社ヒト・コミュニケーションズ","2022/07/01","会社不信",""
"秋定迅","男性","1997/01/01","220000041","","2022/07/11","退職","派遣","株式会社コンフィデンス","2022/08/01","稼働問題",""
"椿優香","女性","1995/01/01","200000042","","2020/10/21","退職","開発","株式会社ヒュペリオンテクノロジー","2022/08/01","同業他社転職",""
"大島京介","男性","1995/01/01","200000043","","2020/11/09","退職","開発","ヒュペリオンテクノロジー","2022/08/01","同業他社転職",""
"蛭間寛大","男性","1995/01/01","200000044","","2020/08/27","退職","開発","HapInS株式会社","2022/08/01","同業他社転職",""
"七條遼介","男性","1995/01/01","200000045","","2020/12/24","退職","開発","株式会社 エス・イー・プロジェクト","2022/08/01","同業他社転職",""
"大塲駿","男性","1996/01/01","210000046","","2021/09/09","退職","陸特","株式会社Crane＆I","2022/09/01","ITモチベ低下",""
"水品陽色","男性","1997/01/01","220000047","","2022/06/30","退職","派遣","株式会社ヒトコミュニケーションズ","2022/09/01","家庭問題",""
"福留廉治","男性","1997/01/01","220000048","","2022/06/30","退職","派遣","BIGUP株式会社","2022/09/01","金銭問題",""
"依田弘輝","男性","1997/01/01","220000049","","2022/04/01","退職","派遣","DOOL株式会社","2022/09/01","会社不信",""
"松瀬慶徳","男性","1995/01/01","200000050","","2020/01/16","退職","開発","株式会社グローバル・インフォメーション・テクノロジー","2022/09/01","同業他社転職",""
"萩智美","女性","1995/01/01","200000051","","2020/11/02","退職","開発","株式会社グローバル・インフォメーション・テクノロジー","2022/09/01","同業他社転職",""
"海藤優太","男性","1995/01/01","200000052","","2020/11/02","退職","開発","朝日クリエイト株式会社","2022/09/01","同業他社転職",""
"松岡実","男性","1996/01/01","210000053","","2021/10/13","退職","陸特","株式会社ブレーンネット","2022/09/01","金銭問題",""
"菅原誠志郎","男性","1996/01/01","210000054","","2021/02/09","退職","派遣","株式会社インバウンドテック","2022/09/01","会社不信",""
"高橋知暉","男性","1997/01/01","220000055","","2022/08/16","退職","派遣","株式会社shelter","2022/09/01","稼働問題",""
"安田裕翔","男性","1997/01/01","220000056","","2022/04/26","退職","陸特","株式会社ブール・ジャパン","2022/10/01","会社不信",""
"山口優愛","女性","1997/01/01","220000057","","2022/05/16","退職","派遣","株式会社アイビーエス","2022/10/01","会社不信",""
"市川航大","男性","1997/01/01","220000058","","2022/01/10","退職","派遣","株式会社shelter","2022/10/01","稼働問題",""
"岩田佳恵","女性","1997/01/01","220000059","","2022/10/06","退職","派遣","株式会社アデコ","2022/11/01","稼働問題",""
"佐々木大和","男性","1997/01/01","220000060","","2022/04/09","退職","派遣","株式会社AXIS","2022/11/01","稼働問題",""
"木村太陽","男性","1997/01/01","220000061","","2022/04/01","退職","陸特","株式会社ベストサポートシステムズ","2022/11/01","同業他社転職",""
"砥石久瑠実","女性","1996/01/01","210000062","","2021/01/11","退職","開発","VIPソフトウェア株式会社","2022/11/01","同業他社転職",""
"黒田渉太郎","男性","1996/01/01","210000063","","2021/02/01","退職","開発","株式会社ファイン・ネット","2022/11/01","同業他社転職",""
"新垣 惇","男性","1997/01/01","220000064","","2022/10/13","退職","派遣","株式会社アデコ","2022/11/01","家庭問題",""
"岡本健司","男性","1997/01/01","220000065","","2022/02/10","退職","陸特","株式会社ワールドフェイマス","2022/12/01","同業他社転職",""
"佐藤京太郎","男性","1997/01/01","220000066","","2022/03/01","退職","陸特","株式会社ベストサポートシステムズ","2022/12/01","ITモチベ低下",""
"宍戸成実","女性","1997/01/01","220000067","","2022/11/08","退職","派遣","株式会社アデコ","2022/12/01","家庭問題",""
"村松大樹","男性","1997/01/01","220000068","","2022/02/01","退職","開発","スカイリーフ株式会社","2022/12/01","同業他社転職",""
"赤石勇希","男性","1997/01/01","220000069","","2022/07/26","退職","陸特","株式会社アデコ","2022/12/01","会社不信",""
"本多亘輝","男性","1997/01/01","220000070","","2022/02/10","退職","陸特","株式会社ワールドフェイマス","2023/01/01","同業他社転職",""
"大井直生","男性","1997/01/01","220000071","","2022/03/31","退職","陸特","株式会社ユキシステムデザイン","2023/01/01","同業他社転職",""
"菖蒲川拓椰","男性","1998/01/01","230000072","","2023/01/20","退職","派遣","株式会社マニフェスト","2023/02/01","稼働問題",""
"上田優香","女性","1998/01/01","230000073","","2023/02/20","退職","派遣","株式会社アデコ","2023/03/01","ITモチベ低下",""
"福村愛実","女性","1997/01/01","220000074","","2022/11/08","退職","派遣","株式会社アデコ","2023/02/01","家庭問題",""
"中林真衣","女性","1997/01/01","220000075","","2022/04/03","退職","陸特","株式会社フューチャーコネクション","2023/03/01","ITモチベ低下",""
"小野恭平","男性","1997/01/01","220000076","","2022/09/26","退職","派遣","株式会社AXIS","2023/02/01","同業他社転職",""
"小板橋功一","男性","1997/01/01","220000077","","2022/11/25","退職","派遣","株式会社ユニット","2023/03/01","金銭問題",""
"佐々木祐介","男性","1996/01/01","210000078","","2021/11/01","退職","陸特","株式会社フュージョニア","2023/03/01","同業他社転職",""
"田岡真輝","男性","1996/01/01","210000079","","2021/04/01","退職","開発","soam.ICT株式会社","2023/03/01","ITモチベ低下",""
"大関瑛裕","男性","1997/01/01","220000080","","2022/06/13","退職","陸特","株式会社ブール・ジャパン","2023/03/01","ITモチベ低下",""
"繁田航祐","男性","1995/01/01","200000081","","2020/11/13","退職","開発","EBA株式会社","2023/03/01","同業他社転職",""
"関屋諒","男性","1995/01/01","200000082","","2020/12/01","退職","開発","株式会社アスページ","2023/03/01","ITモチベ低下",""
"當間麗那","女性","1994/01/01","190000083","","2019/05/10","退職","開発","日本ナレッジ株式会社","2023/03/01","病気",""
"小林大起","男性","1997/01/01","220000084","","2022/04/01","退職","陸特","株式会社ブレーンネット","2023/03/01","同業他社転職",""
"山口拓磨","男性","1995/01/01","200000085","","2020/03/31","退職","開発","株式会社はばたーく","2023/03/01","同業他社転職",""
"岡崎さくら","女性","1997/01/01","220000086","","2022/01/10","退職","陸特","株式会社D&D","2023/03/01","稼働問題",""
"中村信也","男性","1996/01/01","210000087","","2021/10/20","退職","派遣","株式会社アップデートホールディングス","2023/03/01","病気",""
"石川奈津希","女性","1995/01/01","200000088","","2020/12/21","退職","開発","株式会社Wytel","2023/04/01","家庭問題",""
"津川忠久","男性","1997/01/01","220000089","","2022/11/25","退職","派遣","株式会社アデコ","2023/04/01","ITモチベ低下",""
"松本豊","男性","1997/01/01","220000090","","2022/04/11","退職","陸特","株式会社ユキシステムデザイン","2023/04/01","金銭問題",""
"西川怜央","男性","1998/01/01","230000091","","2023/02/06","退職","派遣","Goistech株式会社","2023/04/01","同業他社転職",""
"木下祐一","男性","1997/01/01","220000092","","2022/12/23","退職","派遣","株式会社アデコ","2023/04/01","ITモチベ低下",""
"金田治樹","男性","1998/01/01","230000093","","2023/03/01","退職","派遣","株式会社コンフィデンス","2023/04/01","病気",""
"菅野早希","女性","1998/01/01","230000094","","2023/03/07","退職","派遣","株式会社アデコ","2023/05/01","家庭問題",""
"室祐一郎","男性","1998/01/01","230000095","","2023/01/23","退職","陸特","株式会社ネットサポート","2023/05/01","家庭問題",""
"石川晃大","男性","1998/01/01","230000096","","2023/04/12","退職","派遣","株式会社インバウンドテック","2023/05/01","ITモチベ低下",""
"鈴木崇士","男性","1997/01/01","220000097","","2022/04/03","退職","陸特","株式会社ユキシステムデザイン","2023/05/01","ITモチベ低下",""
"眞子航碩","男性","1998/01/01","230000098","","2023/04/06","退職","派遣","BIGUP株式会社","2023/05/01","金銭問題",""
"松井健登","男性","1997/01/01","220000099","","2022/06/10","退職","派遣","株式会社shelter","2023/05/01","ITモチベ低下",""
"小川貴美","女性","1998/01/01","230000100","","2023/04/01","退職","内勤","Y&IGROUP株式会社人事部","2023/05/01","家庭問題",""
"大木翔太郎","男性","1998/01/01","230000101","","2023/04/11","退職","派遣","アデコ株式会社","2023/05/01","金銭問題",""
"川島早絢","女性","1998/01/01","230000102","","2023/04/11","退職","派遣","アデコ株式会社","2023/05/01","ITモチベ低下",""
"稲穂一希","男性","1998/01/01","230000103","","2023/04/01","退職","派遣","アデコ株式会社","2023/06/01","同業他社転職",""
"玉置愛理","女性","1997/01/01","220000104","","2022/01/05","退職","陸特","株式会社八興システムズ","2023/06/01","同業他社転職",""
"鶴見光宏","男性","1997/01/01","220000105","","2022/09/23","退職","陸特","株式会社ブレイバンステクノロジーズ","2023/06/01","病気",""
"古田敦","男性","1998/01/01","230000106","","2023/05/08","退職","派遣","BIGUP株式会社","2023/06/01","金銭問題",""
"芝真依","女性","1998/01/01","230000107","","2023/03/01","退職","派遣","株式会社ピーエスシー","2023/06/01","ITモチベ低下",""
"夏目拓弥","男性","1997/01/01","220000108","","2022/10/13","退職","開発","ティアンドエス株式会社","2023/06/01","会社不信",""
"坂口璃紗","女性","1997/01/01","220000109","","2022/05/02","退職","派遣","株式会社マニフェスト","2023/06/01","稼働問題",""
"天野耀介","男性","1995/01/01","200000110","","2020/04/06","退職","開発","日本テムズ株式会社","2023/06/01","同業他社転職",""
"川上美佐穂","女性","1996/01/01","210000111","","2021/02/12","退職","開発","株式会社エイプリルナイツ","2023/06/01","ITモチベ低下",""
"秋元崇歩","男性","1997/01/01","220000112","","2022/05/06","退職","開発","朝日クリエイト株式会社","2023/06/01","同業他社転職",""
"柳綾子","女性","1996/01/01","210000113","","2021/02/22","退職","開発","ティアンドエス株式会社","2023/06/01","同業他社転職",""
"赤崎秀一","男性","1996/01/01","210000114","","2021/03/05","退職","開発","株式会社EBA","2023/06/01","同業他社転職",""
"三東綾香","女性","1998/01/01","230000115","","2023/05/08","退職","派遣","ヒトコム","2023/06/01","ITモチベ低下",""
"塩谷淑恭","男性","1995/01/01","200000116","","2020/08/07","退職","開発","株式会社ブレーンネット","2023/06/01","同業他社転職",""
"村松脩平","男性","1998/01/01","230000117","","2023/04/01","退職","派遣","アデコ株式会社","2023/07/01","ITモチベ低下",""
"柳綾子","女性","1996/01/01","210000118","","2021/02/22","退職","開発","ティアンドエス株式会社","2023/07/01","会社不信",""
"内室雄太","男性","1995/01/01","200000119","","2020/10/06","退職","開発","株式会社S.E.C","2023/07/01","同業他社転職",""
"工藤真菜","女性","1995/01/01","200000120","","2020/12/14","退職","開発","株式会社ブレーンネット","2023/07/01","同業他社転職",""
"椚冬威","男性","1994/01/01","190000121","","2019/08/01","退職","開発","株式会社ボイス","2023/07/01","家庭問題",""
"渡邊彰子","女性","1994/01/01","190000122","","2019/09/10","退職","開発","フューチャースクエア","2023/07/01","会社不信",""
